time,x,y,z,vx,vy,vz,throttle,angle_from_vertical,speed
0,2400,450,-330,-40,45,-2.1783e-17,38.3187,82.2174,60.208
1,2360,495,-330,-42.5369,40.6014,0.620386,47.9558,82.1068,58.8069
2,2317.46,535.601,-329.38,-44.7014,35.1049,1.41047,43.1803,82.224,56.8556
3,2272.76,570.706,-327.969,-46.8623,30.186,2.11351,41.2221,82.4263,55.7829
4,2225.9,600.892,-325.856,-48.7303,25.6039,2.76918,37.7619,82.5738,55.1169
5,2177.17,626.496,-323.086,-50.5172,21.4953,3.35977,34.794,82.8541,55.0029
6,2126.65,647.992,-319.727,-52.1383,17.8608,3.8848,31.3414,83.3036,55.2494
7,2074.51,665.852,-315.842,-53.5999,14.8129,4.32908,28.8789,83.5675,55.7773
8,2020.91,680.665,-311.513,-55.1098,12.0933,4.72321,26.6747,83.8499,56.6184
9,1965.8,692.759,-306.79,-56.6898,9.6543,5.07202,25.8876,84.1461,57.7292
10,1909.11,702.413,-301.718,-58.2388,7.36331,5.39491,26.6118,84.3742,58.9498
11,1850.88,709.776,-296.323,-59.6471,5.07732,5.71457,27.2537,84.7239,60.1349
12,1791.23,714.854,-290.608,-60.894,2.83646,6.02228,27.4335,85.2624,61.2568
13,1730.33,717.69,-284.586,-62.0002,0.712081,6.30105,27.4826,85.8222,62.3236
14,1668.33,718.402,-278.285,-62.9838,-1.27734,6.54791,27.9388,86.2852,63.3361
15,1605.35,717.125,-271.737,-63.8176,-3.16294,6.77158,29.2641,86.6156,64.2537
16,1541.53,713.962,-264.965,-64.424,-5.00754,6.98553,31.2264,86.8464,64.9948
17,1477.11,708.954,-257.98,-64.7398,-6.84767,7.19877,33.2535,87.0755,65.4977
18,1412.37,702.107,-250.781,-64.7524,-8.66768,7.40989,35.0363,87.3835,65.7488
19,1347.62,693.439,-243.371,-64.4811,-10.4275,7.60946,36.5832,87.7823,65.7606
20,1283.14,683.011,-235.762,-63.9502,-12.095,7.78664,38.0464,88.2155,65.5481
21,1219.19,670.916,-227.975,-63.173,-13.6589,7.93543,39.5684,88.6064,65.1181
22,1156.01,657.258,-220.04,-62.1489,-15.1234,8.05678,41.1846,88.9185,64.4679
23,1093.86,642.134,-211.983,-60.872,-16.4949,8.15526,42.8211,89.1621,63.5924
24,1032.99,625.639,-203.827,-59.3433,-17.7737,8.23502,44.3461,89.3707,62.4928
25,973.648,607.866,-195.592,-57.5779,-18.9513,8.29748,45.6411,89.5812,61.1818
26,916.07,588.914,-187.295,-55.6049,-20.0131,8.34072,46.6532,89.8184,59.6825
27,860.465,568.901,-178.954,-53.4608,-20.9426,8.36053,47.393,89.9124,58.022
28,807.004,547.959,-170.594,-51.1819,-21.7272,8.35235,47.8972,89.6232,56.2265
29,755.822,526.231,-162.241,-48.8014,-22.3605,8.31316,48.1983,89.3336,54.3202
30,707.021,503.871,-153.928,-46.3491,-22.8427,8.24235,48.3157,89.0606,52.3256
31,660.672,481.028,-145.686,-43.8526,-23.1782,8.14153,48.2593,88.8129,50.265
32,616.819,457.85,-137.544,-41.3379,-23.3739,8.01358,48.0344,88.591,48.1599
33,575.481,434.476,-129.531,-38.83,-23.4373,7.86174,47.6471,88.3908,46.0314
34,536.651,411.039,-121.669,-36.3531,-23.3761,7.68903,47.1065,88.2061,43.8989
35,500.298,387.663,-113.98,-33.9297,-23.1981,7.49794,46.4259,88.0309,41.7803
36,466.369,364.465,-106.482,-31.5806,-22.9113,7.29047,45.6207,87.861,39.6915
37,434.788,341.553,-99.1916,-29.3246,-22.5243,7.06822,44.7053,87.6946,37.6462
38,405.463,319.029,-92.1234,-27.1781,-22.0459,6.8327,43.6902,87.5319,35.6561
